food_id,food_name,food_price
af022f10-cc48-4a73-abc7-2a7a7c6e18fc,Double Ultra Lüks Sandviç,"11,00 TL"
9D1CB44E-4A0C-4069-8816-90E8F3F1EE01,Peynirli Sigara Böreği,"6,50 TL"
C8AC5CAF-6124-4A1F-8F06-3BD80211FB89,Şefin Tostu,"14,00 TL"
