food_id,food_name,food_price
454c2ba7-9940-450f-be04-993d59ed2fd4,Çiğ Köfte Dürüm,"5,00 TL"
176f2f3d-285c-4f90-975a-8255ee3772e6,Çiğ Köfte (250 gr.),"12,50 TL"
6b954234-32a7-498c-b783-8788a1a81f1a,Çiğ Köfte (500 gr.),"25,00 TL"
