food_id,food_name,food_price
30f08422-95aa-4388-ac03-ecf295c553f6,Etsiz Çiğ Köfte (250 gr.),"14,00 TL"
46d01e8b-a5c5-42c4-935d-ecb4d652ab16,Orta Boy Mega Etsiz Çiğ Köfte Dürüm,"10,00 TL"
2750351a-c456-4327-8228-a075992d6436,Etsiz Çiğ Köfte Dürüm,"7,50 TL"
