food_id,food_name,food_price
c5d9431a-3b60-453d-9f4e-3d7072339f6f,Lahmacun,"7,50 TL"
30d0e4b6-1317-4a9a-8d2c-5534cf902401,2'li Lahmacun Menü,"18,00 TL"
60cf75ad-e235-40ee-91e2-a9ca46ec9be8,Künefe,"12,00 TL"
