food_id,food_name,food_price
14400daf-e83a-4952-ba2d-b15e4f426316,Ayvalık Tostu,"15,00 TL"
319035e3-967d-442a-ab98-2f974ae9fa3b,Seçilmiş Menü (Ayvalık Tostu),"18,00 TL"
e570e26a-b359-4ec0-89ce-adac71525562,Karışık Tost,"10,00 TL"
