food_id,food_name,food_price
555ce080-0452-4b38-870b-27781a456ebe,Ekmek Arası Kokoreç,"19,00 TL"
88b251df-7736-4197-8909-2b30640b5e9b,Söğüş Dürüm,"26,00 TL"
2246b09b-02d3-40a3-ab41-461f33dbb8c3,Karışık Sandviç,"15,00 TL"
