food_id,food_name,food_price
a7d82568-35ff-45b3-a9bf-a85201549275,Bomba Kurabiye,"3,00 TL"
57DAE612-16FB-4604-AF67-51F2D2BD43FC,Bomba (2 Adet),"6,00 TL"
0933a7c7-4c5c-4959-80dc-95d89a8a0d6a,Esmer Bomba Kurabiye,"3,38 TL"
