food_id,food_name,food_price
262afd78-95d5-4271-9532-a6c45e1d4bf7,Tavuk Döner Dürüm (100 gr.),"12,00 TL"
5f9d34b8-5967-451d-9e4a-2c24c5e07a43,Tavuk Döner Dürüm (150 gr.),"18,00 TL"
224e793a-314b-4611-a941-08f5017cf92a,Tavuk Döner Dürüm Menü,"14,00 TL"
