food_id,food_name,food_price
eca1870c-a403-42e8-8ba6-6ff57335cb0e,Kaşarlı Mantarlı Tavuk,"30,00 TL"
1F55FA41-8A4F-49E6-B8A9-42A8EEA4B8E3,Kakaolu Mozaik Pasta (Dilim),"10,00 TL"
39e27c13-9159-41f5-b943-54e764924787,Köri Soslu Tavuk,"30,00 TL"
